# Exp label: Wake98A Recorded at SSS_A-E
# Device ID: ID47481 Mouse group: MT Mouse ID: ES020-1-1-G6_1 DOB: 2019/03/24
# Start: 2019-05-25 08:00:00 End: 2019-05-27 08:00:00 Note: Yes
# Epoch num: 21600
# Sampling frequency: 100
# Staged by FASTER2
Stage,REM probability,NREM probability,Wake probability,NaN ratio EEG-TS,NaN ratio EMG-TS,Outlier ratio EEG-TS,Outlier ratio EMG-TS
Wake,5.028370669114671e-25,1.954380548384848e-13,1.0,0.0,0.0,0.007751937984496124,0.0
Wake,1.9423032127713335e-24,1.504277965829463e-09,0.9999999984866008,0.0,0.0,0.0,0.0
Wake,6.175625598365792e-37,5.113888922442717e-12,1.0,0.0,0.0,0.0,0.0
Wake,8.149101163394918e-23,5.5213500210436344e-11,0.9999999999417923,0.0,0.0,0.0,0.0
Wake,4.664012145174569e-26,6.279043813150456e-12,1.0,0.0,0.0,0.0,0.0
Wake,4.803295734860095e-24,4.575005827015123e-11,0.9999999999417923,0.0,0.0,0.0,0.0
Wake,2.732311900419097e-25,3.676258216197832e-15,1.0,0.0,0.0,0.0,0.0
Wake,7.713734766186725e-28,7.011091524961521e-12,1.0,0.0,0.0,0.0,0.0
Wake,6.046057044891979e-26,3.35514840537236e-12,1.0,0.0,0.0,0.0,0.0
Wake,3.424890044082935e-17,5.653353686535513e-09,0.9999999943538569,0.0,0.0,0.0,0.0
Wake,2.4834411124299576e-16,2.9743881187906704e-10,0.9999999997089615,0.0,0.0,0.0,0.0
Wake,4.330412865481813e-27,4.677175987722892e-14,1.0,0.0,0.0,0.007751937984496124,0.0
Wake,3.313215783615675e-25,1.4964815172763715e-10,0.9999999998544808,0.0,0.0,0.007751937984496124,0.0
Wake,1.199464039589947e-24,4.397228229211868e-13,1.0,0.0,0.0,0.0,0.0
Wake,6.857474784500036e-31,4.8676589500238755e-09,0.9999999951396603,0.0,0.0,0.0,0.0
Wake,4.169997809566547e-25,1.208330718467077e-07,0.9999998791609033,0.0,0.0,0.0,0.0
Wake,2.7039529720118577e-31,8.43939530988597e-12,1.0,0.0,0.0,0.0,0.0
Wake,1.6469475165612845e-23,1.1105906368288724e-10,0.9999999998835847,0.0,0.0,0.0,0.0
Wake,1.9576208914202297e-28,4.0041651072705306e-11,0.9999999999708962,0.0,0.0,0.0,0.0
Wake,4.4930911711123777e-35,4.896371524391636e-12,1.0,0.0,0.0,0.015503875968992248,0.0
Wake,5.440107635941018e-22,0.007030242589559648,0.9929697574086748,0.0,0.0,0.751937984496124,0.0
Wake,2.0603524464064747e-26,2.5155562007905876e-11,0.9999999999708962,0.0,0.0,0.0,0.0
Wake,5.742451460622155e-22,1.8744736588863395e-11,0.9999999999708962,0.0,0.0,0.0,0.0
Wake,1.9449662655875127e-27,7.435977949014407e-11,0.9999999999126885,0.0,0.0,0.007751937984496124,0.0
Wake,1.3337299504475709e-30,2.5238880419918893e-12,1.0,0.0,0.0,0.0,0.0
Wake,6.297010809916596e-22,7.77386432596905e-10,0.9999999992141966,0.0,0.0,0.007751937984496124,0.0
Wake,3.1130288227194946e-21,4.555436195085269e-14,1.0,0.0,0.0,0.015503875968992248,0.0
Wake,1.1585752961433797e-29,3.834701170044302e-09,0.9999999961582944,0.0,0.0,0.0,0.0
Wake,1.6913382087759937e-23,1.2157813400011019e-09,0.9999999987776391,0.0,0.0,0.0,0.0
Wake,2.6839752406864606e-32,6.3657923368141e-10,0.9999999993597157,0.0,0.0,0.0,0.0
Wake,1.1710396190091026e-29,6.951786664283208e-10,0.9999999993015081,0.0,0.0,0.0,0.0
Wake,1.3339667728734522e-21,5.462494512012158e-10,0.9999999994470272,0.0,0.0,0.007751937984496124,0.0
Wake,8.651024310322679e-16,1.6239011717787334e-08,0.9999999837600618,0.0,0.0,0.007751937984496124,0.0
Wake,1.5049796410495983e-12,6.818369798475048e-09,0.9999999931881987,0.0,0.0,0.0,0.0
Wake,1.9463079653018324e-12,1.7869770638753593e-09,0.9999999982227201,0.0,0.0,0.0,0.0
Wake,1.0335650725045308e-12,2.6296199017168795e-07,0.9999997370458927,0.0,0.0,0.0,0.0
Wake,2.0705351393936179e-13,1.2462181061828944e-06,0.9999987537745494,0.0,0.0,0.0,0.0
Wake,7.505371551197869e-14,1.4516734919215542e-05,0.9999854832601812,0.0,0.0,0.0,0.0
Wake,1.290589227771815e-18,1.6067609700260027e-05,0.9999839323990553,0.0,0.0,0.0,0.0
